time, Longitude, Latitude, Altitude, rsrp, snr, datarate
2025-06-03 14:19:52.018, -78.696274700000, 35.727482300000, 0.000000000000, -75.072129606841, 14.927870393159, 4.648000000000
2025-06-03 14:19:53.038, -78.696274700000, 35.727482300000, 0.508474576271, -75.071956942039, 14.928043057961, 4.648000000000
2025-06-03 14:19:54.042, -78.696274700000, 35.727482300000, 1.016949152542, -75.071793279499, 14.928206720501, 4.648000000000
2025-06-03 14:19:55.065, -78.696274700000, 35.727482300000, 1.525423728814, -75.071638620238, 14.928361379762, 4.648000000000
2025-06-03 14:19:56.105, -78.696274700000, 35.727482300000, 2.033898305085, -75.071492965219, 14.928507034781, 4.648000000000
2025-06-03 14:19:57.117, -78.696274700000, 35.727482300000, 2.542372881356, -75.071356315347, 14.928643684653, 4.648000000000
2025-06-03 14:19:58.121, -78.696274700000, 35.727482300000, 3.050847457627, -75.071228671472, 14.928771328528, 4.648000000000
2025-06-03 14:19:59.127, -78.696274700000, 35.727482300000, 3.559322033898, -75.071110034390, 14.928889965610, 4.648000000000
2025-06-03 14:20:00.131, -78.696274700000, 35.727482300000, 4.067796610169, -75.071000404838, 14.928999595162, 4.648000000000
2025-06-03 14:20:01.133, -78.696274700000, 35.727482300000, 4.576271186441, -75.070899783499, 14.929100216501, 4.648000000000
2025-06-03 14:20:02.204, -78.696274700000, 35.727482300000, 5.084745762712, -75.070808170998, 14.929191829002, 4.648000000000
2025-06-03 14:20:03.214, -78.696274700000, 35.727482300000, 5.593220338983, -75.070725567907, 14.929274432093, 4.648000000000
2025-06-03 14:20:04.217, -78.696274700000, 35.727482300000, 6.101694915254, -75.070651974738, 14.929348025262, 4.648000000000
2025-06-03 14:20:05.231, -78.696274700000, 35.727482300000, 6.610169491525, -75.070587391950, 14.929412608050, 4.648000000000
2025-06-03 14:20:06.239, -78.696274700000, 35.727482300000, 7.118644067797, -75.070531819945, 14.929468180055, 4.648000000000
2025-06-03 14:20:07.258, -78.696274700000, 35.727482300000, 7.627118644068, -75.070485259069, 14.929514740931, 4.648000000000
2025-06-03 14:20:08.271, -78.696274700000, 35.727482300000, 8.135593220339, -75.070447709612, 14.929552290388, 4.648000000000
2025-06-03 14:20:09.283, -78.696274700000, 35.727482300000, 8.644067796610, -75.070419171808, 14.929580828192, 4.648000000000
2025-06-03 14:20:10.290, -78.696274700000, 35.727482300000, 9.152542372881, -75.070399645834, 14.929600354166, 4.648000000000
2025-06-03 14:20:11.302, -78.696274700000, 35.727482300000, 9.661016949153, -75.070389131811, 14.929610868189, 4.648000000000
2025-06-03 14:20:12.312, -78.696274700000, 35.727482300000, 10.169491525424, -75.070387629806, 14.929612370194, 4.648000000000
2025-06-03 14:20:13.326, -78.696274700000, 35.727482300000, 10.677966101695, -75.070395139827, 14.929604860173, 4.648000000000
2025-06-03 14:20:14.345, -78.696274700000, 35.727482300000, 11.186440677966, -75.070411661828, 14.929588338172, 4.648000000000
2025-06-03 14:20:15.357, -78.696274700000, 35.727482300000, 11.694915254237, -75.070437195706, 14.929562804294, 4.648000000000
2025-06-03 14:20:16.364, -78.696274700000, 35.727482300000, 12.203389830508, -75.070471741302, 14.929528258698, 4.648000000000
2025-06-03 14:20:17.370, -78.696274700000, 35.727482300000, 12.711864406780, -75.070515298401, 14.929484701599, 4.648000000000
2025-06-03 14:20:18.381, -78.696274700000, 35.727482300000, 13.220338983051, -75.070567866732, 14.929432133268, 4.648000000000
2025-06-03 14:20:19.396, -78.696274700000, 35.727482300000, 13.728813559322, -75.070629445967, 14.929370554033, 4.648000000000
2025-06-03 14:20:20.411, -78.696274700000, 35.727482300000, 14.237288135593, -75.070700035724, 14.929299964276, 4.648000000000
2025-06-03 14:20:21.413, -78.696274700000, 35.727482300000, 14.745762711864, -75.070779635562, 14.929220364438, 4.648000000000
2025-06-03 14:20:22.431, -78.696274700000, 35.727482300000, 15.254237288136, -75.070868244987, 14.929131755013, 4.648000000000
2025-06-03 14:20:23.446, -78.696274700000, 35.727482300000, 15.762711864407, -75.070965863447, 14.929034136553, 4.648000000000
2025-06-03 14:20:24.458, -78.696274700000, 35.727482300000, 16.271186440678, -75.071072490335, 14.928927509665, 4.648000000000
2025-06-03 14:20:25.470, -78.696274700000, 35.727482300000, 16.779661016949, -75.071188124986, 14.928811875014, 4.648000000000
2025-06-03 14:20:26.484, -78.696274700000, 35.727482300000, 17.288135593220, -75.071312766682, 14.928687233318, 4.648000000000
2025-06-03 14:20:27.495, -78.696274700000, 35.727482300000, 17.796610169492, -75.071446414646, 14.928553585354, 4.648000000000
2025-06-03 14:20:28.506, -78.696274700000, 35.727482300000, 18.305084745763, -75.071589068048, 14.928410931952, 4.648000000000
2025-06-03 14:20:29.517, -78.696274700000, 35.727482300000, 18.813559322034, -75.071740725999, 14.928259274001, 4.648000000000
2025-06-03 14:20:30.529, -78.696274700000, 35.727482300000, 19.322033898305, -75.071901387556, 14.928098612444, 4.648000000000
2025-06-03 14:20:31.544, -78.696274700000, 35.727482300000, 19.830508474576, -75.072071051721, 14.927928948279, 4.648000000000
2025-06-03 14:20:32.555, -78.696274700000, 35.727482300000, 20.338983050847, -75.072249717436, 14.927750282564, 4.648000000000
2025-06-03 14:20:33.571, -78.696274700000, 35.727482300000, 20.847457627119, -75.072437383593, 14.927562616407, 4.648000000000
2025-06-03 14:20:34.583, -78.696274700000, 35.727482300000, 21.355932203390, -75.072634049022, 14.927365950978, 4.648000000000
