time, longitude, latitude, altitude, speed, rsrp, snr, datarate, Prx
2025-06-19 16:05:38.994, -78.696274700000, 35.727482300000, 0.000000000000, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:40.068, -78.696274700000, 35.727482300000, 0.904880968680, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:41.079, -78.696274700000, 35.727482300000, 3.884629347036, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:42.016, -78.696274700000, 35.727482300000, 6.323499320162, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:43.026, -78.696274700000, 35.727482300000, 8.434618543603, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:44.030, -78.696274700000, 35.727482300000, 10.692683239515, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:45.036, -78.696274700000, 35.727482300000, 13.101403085627, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:46.036, -78.696274700000, 35.727482300000, 15.696299159636, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:47.068, -78.696274700000, 35.727482300000, 20.561353996799, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:48.056, -78.696274700000, 35.727482300000, 23.272569777233, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:49.057, -78.696274700000, 35.727482300000, 23.272569777233, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:50.076, -78.696274700000, 35.727482300000, 25.494316511250, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:51.091, -78.696274700000, 35.727482300000, 27.611734162106, , -53.000000000000, 32.000000000000, 7.770000000000, -53.000000000000
2025-06-19 16:05:52.084, -78.696274700000, 35.727482300000, 29.908410035324, , -54.000000000000, 31.000000000000, 7.770000000000, -54.000000000000
2025-06-19 16:05:53.087, -78.696274700000, 35.727482300000, 30.000000000000, , -54.000000000000, 31.000000000000, 7.770000000000, -54.000000000000
2025-06-19 16:05:54.094, -78.696813591272, 35.728003907609, 30.000000000000, 10.000000000000, -61.000000000000, 24.000000000000, 7.770000000000, -61.000000000000
2025-06-19 16:05:55.095, -78.697461311339, 35.728628774567, 30.000000000000, 10.000000000000, -66.000000000000, 19.000000000000, 7.770000000000, -66.000000000000
2025-06-19 16:05:56.094, -78.697929109165, 35.729080067370, 30.000000000000, 5.000000000000, -69.000000000000, 16.000000000000, 7.168000000000, -69.000000000000
2025-06-19 16:05:57.110, -78.698252969199, 35.729392500849, 30.000000000000, 5.000000000000, -70.000000000000, 15.000000000000, 6.328000000000, -70.000000000000
2025-06-19 16:05:58.110, -78.698396906991, 35.729531360173, 30.000000000000, 5.000000000000, -71.000000000000, 14.000000000000, 6.328000000000, -71.000000000000
2025-06-19 16:05:59.118, -78.698882018133, 35.729178277774, 30.000000000000, 10.000000000000, -71.000000000000, 14.000000000000, 6.328000000000, -71.000000000000
2025-06-19 16:06:00.120, -78.699528832988, 35.728707501243, 30.000000000000, 10.000000000000, -72.000000000000, 13.000000000000, 5.460000000000, -72.000000000000
2025-06-19 16:06:01.122, -78.699852240416, 35.728472112977, 30.000000000000, 5.000000000000, -72.000000000000, 13.000000000000, 5.460000000000, -72.000000000000
2025-06-19 16:06:02.125, -78.700175647844, 35.728236724711, 30.000000000000, 5.000000000000, -73.000000000000, 12.000000000000, 5.460000000000, -73.000000000000
2025-06-19 16:06:03.126, -78.700128476585, 35.728159064960, 30.000000000000, 10.000000000000, -73.000000000000, 12.000000000000, 5.460000000000, -73.000000000000
2025-06-19 16:06:04.136, -78.699427699083, 35.727773175218, 30.000000000000, 10.000000000000, -71.000000000000, 14.000000000000, 6.328000000000, -71.000000000000
2025-06-19 16:06:05.142, -78.698726921581, 35.727387285477, 30.000000000000, 10.000000000000, -69.000000000000, 16.000000000000, 7.168000000000, -69.000000000000
2025-06-19 16:06:06.155, -78.698026144079, 35.727001395735, 30.000000000000, 10.000000000000, -67.000000000000, 18.000000000000, 7.770000000000, -67.000000000000
2025-06-19 16:06:07.176, -78.697237769390, 35.726567269775, 30.000000000000, 10.000000000000, -65.000000000000, 20.000000000000, 7.770000000000, -65.000000000000
2025-06-19 16:06:08.176, -78.696624589075, 35.726229616251, 30.000000000000, 10.000000000000, -65.000000000000, 20.000000000000, 7.770000000000, -65.000000000000
2025-06-19 16:06:09.193, -78.695923811574, 35.725843726509, 30.000000000000, 10.000000000000, -66.000000000000, 19.000000000000, 7.770000000000, -66.000000000000
2025-06-19 16:06:10.203, -78.695223034072, 35.725457836767, 30.000000000000, 10.000000000000, -68.000000000000, 17.000000000000, 7.168000000000, -68.000000000000
2025-06-19 16:06:11.210, -78.694741249539, 35.725192537570, 30.000000000000, 5.000000000000, -69.000000000000, 16.000000000000, 7.168000000000, -69.000000000000
2025-06-19 16:06:12.225, -78.694347062194, 35.724975474590, 30.000000000000, 5.000000000000, -70.000000000000, 15.000000000000, 6.328000000000, -70.000000000000
