num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,time,GPSFix,NumberOfSatellites
32,-78.6962747,35.7271223,0.002,0.0012511062668636441,0.018738334998488426,0.0014652046374976635,0.0,0.0,0.0,12.587,2025-05-31 23:21:43.748847,6,10
33,-78.6962747,35.7271223,0.002,0.0015236185863614082,0.018928559496998787,0.001752278534695506,0.0,0.0,0.0,12.587,2025-05-31 23:21:44.749654,6,10
34,-78.6962747,35.7271223,0.002,0.0018396322848275304,0.0191307682543993,0.0020638108253479004,0.0,0.0,0.0,12.587,2025-05-31 23:21:45.751422,6,10
35,-78.6962747,35.7271223,0.002,0.002182204043492675,0.019354119896888733,0.0023966014850884676,0.0,0.0,0.0,12.587,2025-05-31 23:21:46.752015,6,10
36,-78.6962747,35.7271223,0.002,0.002509171376004815,0.01959019899368286,0.002715093083679676,0.0,0.0,0.0,12.587,2025-05-31 23:21:47.754044,6,10
37,-78.6962747,35.7271223,0.404,-0.0028665398713201284,0.019693927839398384,-0.002858147257938981,0.0,0.0,-1.25,12.587,2025-05-31 23:21:48.754545,6,10
38,-78.6962749,35.7271224,1.828,0.0033616218715906143,0.018998626619577408,0.0036206094082444906,0.0,0.0,-1.84,12.587,2025-05-31 23:21:49.755508,6,10
39,-78.696275,35.7271225,4.17,0.003977769520133734,0.004428303334861994,0.004262246191501617,-0.01,0.01,-2.52,12.587,2025-05-31 23:21:50.756181,6,10
40,-78.696275,35.7271225,6.722,0.0035152058117091656,0.004225536715239286,0.004238573368638754,-0.01,0.02,-2.42,12.587,2025-05-31 23:21:51.757357,6,10
41,-78.696275,35.7271225,9.206,0.004160584416240454,0.004302979912608862,0.003705168142914772,-0.02,0.02,-2.42,12.587,2025-05-31 23:21:52.757953,6,10
42,-78.696275,35.7271225,11.694,0.0034157452173531055,0.004272094462066889,0.003330410923808813,-0.02,0.02,-2.43,12.587,2025-05-31 23:21:53.758278,6,10
43,-78.6962749,35.7271225,14.177,0.0025082954671233892,0.004048421047627926,0.0027557406574487686,-0.01,0.01,-2.45,12.587,2025-05-31 23:21:54.758500,6,10
