time,snr_lw1,snr_lw2,snr_lw3,snr_lw4
2025-05-31 23:22:00.154675,19.878944,1.532469,0.850079,-99
2025-05-31 23:22:01.161024,21.293491,0.276823,1.249989,-99
2025-05-31 23:22:02.153158,20.183857,-0.049028,0.085722,-99
2025-05-31 23:22:03.170640,19.2635,2.104527,-0.076614,-99
2025-05-31 23:22:04.163454,20.022896,-0.125311,1.18873,-99
2025-05-31 23:22:05.161835,19.804386,-0.664034,-0.266941,-99
2025-05-31 23:22:06.164926,19.894001,2.259689,0.724094,-99
2025-05-31 23:22:07.172167,18.525352,-0.229847,-0.786047,-99
2025-05-31 23:22:08.178027,20.43697,0.867058,-0.545729,-99
2025-05-31 23:22:09.163003,20.539268,-0.383448,0.07353,-99
2025-05-31 23:22:10.169054,20.534344,0.277975,-0.832695,-99
2025-05-31 23:22:11.158464,24.677692,1.003044,0.719995,-99
2025-05-31 23:22:12.165227,24.863094,0.719881,-1.503233,-99
2025-05-31 23:22:13.189026,26.447803,1.726162,0.058826,-99
2025-05-31 23:22:14.205673,28.430229,-0.624723,0.622824,-99
2025-05-31 23:22:15.207771,28.763687,-0.440311,-0.500509,-99
2025-05-31 23:22:16.220804,28.398273,0.94557,-1.042925,-99
2025-05-31 23:22:17.245289,26.31081,0.531145,1.027191,-99
2025-05-31 23:22:18.258000,28.055271,-0.670872,1.138567,-99
2025-05-31 23:22:19.263693,28.008125,0.835791,1.452572,-99
2025-05-31 23:22:20.286999,28.242535,0.899298,0.026997,-99
2025-05-31 23:22:21.277540,25.613976,-0.312025,-1.525278,-99
2025-05-31 23:22:22.303993,28.487331,0.953175,-0.059488,-99
2025-05-31 23:22:23.325012,27.002159,-0.307713,0.226603,-99
2025-05-31 23:22:24.341013,27.869194,-0.313065,1.466648,-99
2025-05-31 23:22:25.362566,26.332005,1.039125,-0.317574,-99
2025-05-31 23:22:26.355601,26.836201,1.197447,-2.446682,-99
2025-05-31 23:22:27.377415,28.619381,0.470596,0.288696,-99
2025-05-31 23:22:28.370596,27.84951,1.20475,1.502924,-99
2025-05-31 23:22:29.394969,27.850601,0.3486,0.078522,-99
2025-05-31 23:22:30.416308,28.08511,0.287167,0.555042,-99
2025-05-31 23:22:31.431692,27.430477,2.489624,-0.75742,-99
2025-05-31 23:22:32.473013,28.191235,2.124912,-0.475975,-99
2025-05-31 23:22:33.454184,27.921803,0.775848,1.641077,-99
2025-05-31 23:22:34.481515,28.186802,0.675468,0.367079,-99
2025-05-31 23:22:35.477270,26.206375,0.830044,0.158909,-99
2025-05-31 23:22:36.506424,28.183281,-1.708622,0.748344,-99
2025-05-31 23:22:37.532524,28.683548,0.206861,0.067261,-99
2025-05-31 23:22:38.534284,28.992474,-0.415001,1.353575,-99
2025-05-31 23:22:39.547463,29.005154,0.803675,-1.507641,-99
2025-05-31 23:22:40.557140,26.796703,-0.503317,-1.294704,-99
2025-05-31 23:22:41.593807,22.467106,1.625078,-1.149176,-99
2025-05-31 23:22:42.607759,22.330696,-0.51363,-0.93298,-99
2025-05-31 23:22:43.632164,21.671055,-7.521528,-0.341991,-99
2025-05-31 23:22:44.636713,19.213276,-1.404909,-2.749632,-99
2025-05-31 23:22:45.655895,18.160164,0.47678,-0.961769,-99
2025-05-31 23:22:46.682018,15.562981,0.662216,-1.938267,-99
2025-05-31 23:22:47.733587,14.83482,0.113108,-0.948606,-99
2025-05-31 23:22:48.734390,13.592125,0.890921,-3.421099,-99
2025-05-31 23:22:49.743026,13.495689,2.51556,-1.506098,-99
2025-05-31 23:22:50.774677,11.666599,1.582836,-1.652706,-99
2025-05-31 23:22:51.806027,12.51458,0.891666,-0.946447,-99
2025-05-31 23:22:52.817083,12.04892,3.139118,-7.870232,-99
2025-05-31 23:22:53.826379,9.440022,2.798866,-3.2386,-99
2025-05-31 23:22:54.846983,10.107475,0.393578,-1.726355,-99
2025-05-31 23:22:55.854423,9.451317,2.739288,-2.323601,-99
2025-05-31 23:22:56.876580,8.994999,2.520187,-2.630857,-99
2025-05-31 23:22:57.883104,8.549603,2.17979,-3.590223,-99
2025-05-31 23:22:58.894913,8.568214,2.806084,-2.615904,-99
2025-05-31 23:22:59.906330,7.67522,2.873825,-3.026728,-99
2025-05-31 23:23:00.932996,8.06546,2.040833,-3.694309,-99
2025-05-31 23:23:01.943739,6.959999,1.404408,-2.958462,-99
2025-05-31 23:23:02.950152,7.753841,2.26194,-2.766661,-99
2025-05-31 23:23:03.966646,6.979427,2.207634,-1.703808,-99
2025-05-31 23:23:04.985776,4.980392,2.639015,-2.561335,-99
2025-05-31 23:23:06.009104,6.425377,2.684006,-4.46888,-99
2025-05-31 23:23:07.025914,6.409943,3.098705,-3.106104,-99
2025-05-31 23:23:08.054590,3.227169,2.86993,-3.40284,-99
2025-05-31 23:23:09.076756,4.632042,2.616104,-2.195709,-99
2025-05-31 23:23:10.098280,5.334339,3.5858,-5.126499,-99
2025-05-31 23:23:11.099289,3.112942,2.402531,-4.697273,-99
2025-05-31 23:23:12.112511,3.489361,-16.534647,-3.847063,-99
2025-05-31 23:23:13.135316,3.302055,1.904547,-3.22506,-99
2025-05-31 23:23:14.150262,2.446075,2.843475,-3.515301,-99
2025-05-31 23:23:15.159903,2.976078,2.896267,-3.889959,-99
2025-05-31 23:23:16.168986,3.498192,2.843422,-4.918303,-99
2025-05-31 23:23:17.190189,2.187763,3.789856,-2.25062,-99
2025-05-31 23:23:18.200744,2.153069,2.399876,-5.107403,-99
2025-05-31 23:23:19.234689,3.469265,2.908428,-5.079306,-99
2025-05-31 23:23:20.238705,2.876659,3.698727,-6.33606,-99
2025-05-31 23:23:21.271221,3.033195,3.572914,-4.604017,-99
2025-05-31 23:23:22.257868,-0.820713,3.714542,-6.629709,-99
2025-05-31 23:23:23.274627,3.529324,3.98653,-5.209839,-99
