time,dl_lw1,dl_lw2,dl_lw3,dl_lw4,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites
2025-05-31 23:22:01.160,6.33,0,0,0,49.3947052681803,-78.696275,35.7271225,24.9636040949227,0.00399114729954666,0.00423740330291016,0.00412828879000953,-0.0139470526818031,0.02,-0.167906103455089,12.587,6,10
2025-05-31 23:22:02.153,13.5,0,0,0,50.3851071223159,-78.696275,35.7271225,24.9732914649636,0.00381495826602434,0.00439337197081127,0.00391202848615587,-0.02,0.02,0.0191914302147243,12.587,6,10
2025-05-31 23:22:03.170,19.82,0,0,0,51.4005004846136,-78.696275,35.7271225,24.9538010009692,0.00370277572060956,0.00422047728048204,0.00386459106865167,-0.02,0.02,-0.0340050048461365,12.587,6,10
2025-05-31 23:22:04.163,26.15,0,0,0,52.3922925701127,-78.696275,35.7271225392293,24.9577460479908,0.00369559354607017,0.0172548354276304,0.00402745789816264,-0.02,0.02,-0.0360770742988727,12.587,6,10
2025-05-31 23:22:05.161,32.48,0,0,0,53.3893580145657,-78.6962749610642,35.7271227168074,24.9627787160291,-0.0766151996040115,0.182032453577806,-0.0114364560612872,0.112381724952326,0.0511486411652532,-0.0222128397086867,12.587,6,10
2025-05-31 23:22:06.164,38.81,0,0,0,54.3911565407603,-78.6962734527208,35.7271284153072,24.964,-0.253331485880272,0.333471921664782,-0.0191717215762578,1.28615665567789,0.307312966602948,-0.0178231308152056,12.587,6,10
2025-05-31 23:22:07.171,45.14,0,0,0,55.3972644471013,-78.6962673465349,35.7271509042557,24.9675753800239,-0.377536825467807,0.224871724364061,-0.000753117290889989,3.711653517275,0.836577512492672,-0.0260273555289871,12.587,6,10
2025-05-31 23:22:08.177,50.6,0,0,0,56.4022993906145,-78.6962552643595,35.7271947701455,24.9725977006094,-0.492946343948175,0.268211745061801,-0.0259758941595217,6.0755185374748,1.33505771968267,-0.015977006093855,12.587,6,10
2025-05-31 23:22:09.162,56.92,0,0,0,57.3871276033154,-78.69623856715,35.7272565893257,24.9789682968597,-0.485488091272583,0.279391748482094,-0.0282181158547344,7.68807869752508,1.65258403636469,-0.0138712760331538,12.587,6,10
2025-05-31 23:22:10.168,63.25,0,0,0,58.3923963768869,-78.696219540667,35.7273282107878,24.9896076036231,-0.322450675015302,0.24618458472427,-0.00156161885228689,7.6678547897971,1.65329261592923,-0.0121520724622624,12.587,6,10
2025-05-31 23:22:11.158,69.58,0,0,0,59.3810430643151,-78.696202203311,35.7273935150011,24.9893810430643,-0.215994139296757,0.271077976162446,-0.000926772440577852,6.7427483228219,1.45473923392123,0,12.587,6,10
2025-05-31 23:22:12.165,77.35,0,0,0,60.387440469288,-78.696187302018,35.7274494971425,24.9907748809386,-0.0984218728263801,0.260931427851015,0.0070228879798558,5.42658810545382,1.19151666859937,0,12.587,6,10
2025-05-31 23:22:13.188,85.12,0,0,0,61.4109308807525,-78.6961756194359,35.7274927483707,24.9924109308808,0.0186905820991281,0.260104958981465,0.00719976764550368,3.83785473795089,0.867955574121584,0,12.587,6,10
2025-05-31 23:22:14.205,92.89,0,0,0,62.42620023206,-78.6961681116189,35.7275201011241,24.9955572013924,0.111322972807702,0.266080346326237,0.00806869775130939,2.07152957068903,0.470995902534808,0,12.587,6,10
2025-05-31 23:22:15.207,100.66,0,0,0,63.4261446154737,-78.6961649590843,35.7275315636628,24.999,0.112564081430684,0.261949173129801,0.00707127037942148,0.541240922978954,0.127725292286317,0,12.587,6,10
2025-05-31 23:22:16.220,108.43,0,0,0,64.4373423590227,-78.6961647624054,35.7275323941126,24.998125315282,0.0326103908227855,0.262962363590945,0.00385836672860039,-0.164348201033857,-0.0274936943609076,0,12.587,6,10
2025-05-31 23:22:17.244,116.2,0,0,0,65.4596110370847,-78.6961654217277,35.7275300888557,24.997,-0.00446866633111448,0.262907393712418,0.00306152127079177,-0.209442785920679,-0.036211668887458,0,12.587,6,10
2025-05-31 23:22:18.257,123.97,0,0,0,66.4710158901766,-78.696166035508,35.7275283818825,24.9979420317804,-0.00762528230375229,0.426124551034149,0.0033816001253722,-0.107608569884105,-0.0105796821964679,0,12.587,6,10
2025-05-31 23:22:19.263,131.74,0,0,0,67.475756655633,-78.6961663951513,35.7275275621217,24.9999515133113,-0.00451302133506805,1.30413200536591,0.00192640331342664,-0.0504848668873394,0.0095151331126606,0,12.587,6,10
2025-05-31 23:22:20.286,139.51,0,0,0,68.4982874230789,-78.6961665498287,35.7275272003425,25.0019965748462,-0.00353784221408268,2.12565720679592,0.000925100742612667,-0.04,0.0249828742307895,0,12.587,6,10
2025-05-31 23:22:21.277,147.28,0,0,0,69.4873875771153,-78.6961666487388,35.7275270512612,25.0025126124229,-0.0031176114496605,1.88386918157375,0.00257326407116439,-0.04,0.03,0,12.587,6,10
